team,confederation
Northern Cyprus,
Northern Ireland,UEFA
Northern Mariana Islands,
Norway,UEFA
Occitania,
Oman,AFC
Orkney,
Osasuna,
Padania,
Pakistan,AFC
Palau,
Palestine,AFC
Panama,CONCACAF
Panjab,
Papua New Guinea,OFC
Paraguay,CONMEBOL
Parishes of Jersey,
Peru,CONMEBOL
Philippines,AFC
Poland,UEFA
Portugal,UEFA
Provence,
Puerto Rico,CONCACAF
Qatar,AFC
Quebec,
RC Deportivo La Coruña,
Raetia,
Real Betis,
Real Madrid,
Real Sociedad,
Real Valladolid,
Republic of Ireland,UEFA
Republic of St. Pauli,
Rhodes,
Romani people,
Romania,UEFA
Russia,UEFA
Rwanda,CAF
Ryūkyū,
Réunion,
Saare County,
Saarland,
Saint Barthélemy,
Saint Helena,
Saint Kitts and Nevis,CONCACAF
Saint Lucia,CONCACAF
Saint Martin,CONCACAF
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,CONCACAF
Samoa,OFC
San Marino,UEFA
Sark,
Saudi Arabia,AFC
Saugeais,
Scotland,UEFA
Sealand,
Seborga,
Senegal,CAF
Serbia,UEFA
Sevilla,
Seychelles,CAF
Shetland,
Sierra Leone,CAF
Silesia,
Singapore,AFC
Sint Maarten,CONCACAF
Slovakia,UEFA
Slovenia,UEFA
Solomon Islands,OFC
Somalia,CAF
Somaliland,
South Africa,CAF
South Korea,AFC
South Ossetia,
South Sudan,CAF
South Yemen,
Spain,UEFA
Sri Lanka,AFC
Sudan,CAF
Suriname,CONCACAF
Surrey,
Sweden,UEFA
Switzerland,UEFA
Syria,AFC
Székely Land,
Sápmi,
São Tomé and Príncipe,CAF
Tahiti,OFC
Taiwan,
Tajikistan,AFC
Tamil Eelam,
Tanzania,CAF
Thailand,AFC
Tibet,
Ticino,
Timor-Leste,AFC
Togo,CAF
Tonga,OFC
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
Turkmenistan,AFC
Turks and Caicos Islands,CONCACAF
Tuvalu,OFC
Two Sicilies,
Uganda,CAF
Ukraine,UEFA
United Arab Emirates,AFC
United Koreans in Japan,
United States,CONCACAF
United States Virgin Islands,
Uruguay,CONMEBOL
Uzbekistan,AFC
Valencia,
Vanuatu,OFC
Vatican City,
Venezuela,CONMEBOL
Vietnam,AFC
Vietnam Republic,
Villarreal,
Wales,UEFA
Wallis Islands and Futuna,
West Papua,
Western Armenia,
Western Australia,
Western Isles,
Western Sahara,
Yemen,AFC
Yemen DPR,
Ynys Môn,
Yorkshire,
Yoruba Nation,
Yugoslavia,UEFA
Zambia,CAF
Zanzibar,
Zimbabwe,CAF
Åland Islands,
